,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
P83731,RPL24,60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,,1,,,,2,,,,1,,,,8,,,,1.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40 OS=Homo sapiens OX=9606 GN=ARHGEF40 PE=1 SV=3,,1,,,,1,,,,1,,,,1,,,,1.83E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50914,RPL14,60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,,2,,,,3,,,,2,,,,11,,,,2.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15347,HMGB3,High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4,,1,,,,1,,,,1,,,,7,,,,2.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62826,RAN,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,,1,,,,1,,,,1,,,,5,,,,2.80E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NC56,LEMD2,LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LEMD2 PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,2.90E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55854,SUMO3,Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2,,1,,,,2,,,,1,,,,12,,,,2.97E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12814,ACTN1,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,,3,,,,4,,,,1,,,,4,,,,3.76E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",,3,,,,4,,,,3,,,,5,,,,4.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,,2,,,,3,,,,2,,,,7,,,,4.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12235,SLC25A4,ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4,,1,,,,3,,,,1,,,,9,,,,5.83E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14533,KRT81,"Keratin, type II cuticular Hb1 OS=Homo sapiens OX=9606 GN=KRT81 PE=1 SV=3",,5,,,,5,,,,2,,,,12,,,,1.05E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,,3,,,,5,,,,3,,,,5,,,,1.12E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43684,BUB3,"Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1, Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1",1,1,,,1,1,,,1,1,,,6,4,,,,5.53E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2, Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",1,2,,,1,2,,,1,2,,,1,1,,,,1.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92918,MAP4K1,"Mitogen-activated protein kinase kinase kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP4K1 PE=1 SV=1, Mitogen-activated protein kinase kinase kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP4K1 PE=1 SV=1",,1,1,,,4,1,,,1,1,,,1,1,,,2.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04040,CAT,"Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3, Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3, Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3",1,1,2,,1,1,2,,1,1,2,,2,2,7,,6.75E+04,7.71E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35268,RPL22,"60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2, 60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2",1,1,,,2,1,,,1,1,,,12,9,,,1.06E+05,1.46E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08211,DHX9,"ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4, ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4",1,4,,,1,4,,,1,4,,,2,4,,,1.14E+05,3.60E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08865,RPSA,"40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4, 40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4",1,2,,,2,2,,,1,2,,,8,8,,,1.30E+05,3.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68104,EEF1A1,"Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1, Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1",2,5,,,3,8,,,2,5,,,11,18,,,1.35E+05,2.08E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21333,FLNA,"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4, Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4",3,19,,,6,22,,,3,19,,,3,11,,,1.68E+05,2.56E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62937,PPIA,"Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2, Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2",1,1,,,2,2,,,1,1,,,8,8,,,1.87E+05,8.19E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52272,HNRNPM,"Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3, Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3",1,2,,,2,2,,,1,2,,,2,4,,,2.03E+05,1.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51991,HNRNPA3,"Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2, Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2",1,1,,,1,1,,,1,1,,,4,3,,,2.06E+05,1.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62241,RPS8,"40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2, 40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2",1,4,,,1,4,,,1,4,,,7,25,,,2.23E+05,4.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23396,RPS3,"40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2, 40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2",2,1,,,2,1,,,2,1,,,11,5,,,2.42E+05,1.07E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43707,ACTN4,"Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2, Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2",2,3,,,3,4,,,2,1,,,4,5,,,2.66E+05,7.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12956,XRCC6,"X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2, X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2",1,1,,,3,1,,,1,1,,,4,2,,,2.75E+05,9.20E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05198,EIF2S1,"Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3, Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3",1,1,,,3,1,,,1,1,,,5,5,,,2.91E+05,7.92E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61513,RPL37A,"60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2, 60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2",1,1,,,5,1,,,1,1,,,20,20,,,2.93E+05,9.91E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22087,FBL,"rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2, rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2",1,1,,,3,1,,,1,1,,,6,6,,,3.16E+05,1.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NQ39,RPS10P5,"Putative 40S ribosomal protein S10-like OS=Homo sapiens OX=9606 GN=RPS10P5 PE=5 SV=1, Putative 40S ribosomal protein S10-like OS=Homo sapiens OX=9606 GN=RPS10P5 PE=5 SV=1",1,1,,,2,1,,,1,1,,,8,8,,,3.22E+05,5.20E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32119,PRDX2,"Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5, Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5",2,2,,,2,2,,,1,1,,,18,18,,,3.26E+05,1.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2, Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",3,1,,,10,1,,,3,1,,,6,2,,,3.66E+05,5.62E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06396,GSN,"Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1, Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1",1,1,,,1,2,,,1,1,,,2,2,,,3.75E+05,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UQ80,PA2G4,"Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3, Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3",1,1,,,5,2,,,1,1,,,5,5,,,3.97E+05,1.52E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50990,CCT8,"T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4, T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4",3,1,,,4,1,,,3,1,,,11,3,,,4.30E+05,5.57E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14625,HSP90B1,"Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1, Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1",1,4,,,7,7,,,1,3,,,2,7,,,4.31E+05,3.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12906,ILF3,"Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3, Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3",2,1,,,4,1,,,2,1,,,3,2,,,4.31E+05,5.38E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13263,TRIM28,"Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5, Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5, Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5",2,2,1,,4,3,1,,2,2,1,,4,4,2,,4.44E+05,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16658,FSCN1,"Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3, Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3, Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3",2,2,1,,3,3,1,,2,2,1,,5,7,4,,4.55E+05,3.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08238,HSP90AB1,"Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4, Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4",3,8,,,10,13,,,2,3,,,8,13,,,4.72E+05,3.55E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31943,HNRNPH1,"Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4, Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4",3,1,,,5,1,,,2,1,,,12,4,,,5.18E+05,8.69E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38646,HSPA9,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2, Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",4,3,,,18,8,,,4,3,,,10,7,,,5.40E+05,1.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UHD9,UBQLN2,"Ubiquilin-2 OS=Homo sapiens OX=9606 GN=UBQLN2 PE=1 SV=2, Ubiquilin-2 OS=Homo sapiens OX=9606 GN=UBQLN2 PE=1 SV=2, Ubiquilin-2 OS=Homo sapiens OX=9606 GN=UBQLN2 PE=1 SV=2",1,1,1,,4,2,1,,1,1,1,,3,3,3,,5.75E+05,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33991,MCM4,"DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5, DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5",2,1,,,5,1,,,2,1,,,5,3,,,5.92E+05,1.26E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P83916,CBX1,"Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1, Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1",1,1,,,3,1,,,1,1,,,9,9,,,6.45E+05,7.11E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61978,HNRNPK,"Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1",3,6,,,6,13,,,3,6,,,12,18,,,6.63E+05,8.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43852,CALU,"Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2, Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2",1,1,,,2,1,,,1,1,,,6,6,,,8.43E+05,1.21E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99832,CCT7,"T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2, T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2",5,2,,,12,3,,,5,2,,,18,7,,,8.56E+05,1.64E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30101,PDIA3,"Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4, Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4",3,2,,,5,3,,,3,2,,,12,5,,,8.71E+05,3.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15880,RPS2,"40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2, 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2",3,2,,,9,3,,,3,2,,,16,10,,,8.79E+05,4.86E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3, Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",4,1,,,13,2,,,4,1,,,12,3,,,8.80E+05,6.70E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40227,CCT6A,"T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3, T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3",3,1,,,5,1,,,3,1,,,11,3,,,9.29E+05,5.66E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60842,EIF4A1,"Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1, Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1",2,3,,,8,5,,,2,3,,,10,12,,,9.65E+05,3.56E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09382,LGALS1,"Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2, Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2",1,1,,,4,1,,,1,1,,,12,12,,,1.00E+06,1.68E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78527,PRKDC,"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3, DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3",3,2,,,6,3,,,3,2,,,1,1,,,1.01E+06,8.84E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29401,TKT,"Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3, Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3",3,1,,,6,1,,,3,1,,,8,4,,,1.03E+06,1.43E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07437,TUBB,"Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2, Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2",4,3,,,7,4,,,2,2,,,16,9,,,1.04E+06,6.26E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13639,EEF2,"Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4, Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4",6,2,,,11,2,,,6,2,,,13,3,,,1.11E+06,3.94E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60814,H2BC12,"Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3, Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3",2,2,,,4,3,,,2,2,,,17,17,,,1.13E+06,2.79E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60900,PSMA6,"Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1, Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1",1,1,,,4,1,,,1,1,,,7,7,,,1.16E+06,3.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21796,VDAC1,"Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2, Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2",4,2,,,19,5,,,4,2,,,28,15,,,1.24E+06,2.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75369,FLNB,"Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2, Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2",5,2,,,10,2,,,5,2,,,4,2,,,1.24E+06,2.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46782,RPS5,"40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4, 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4",1,1,,,5,2,,,1,1,,,10,10,,,1.27E+06,1.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48643,CCT5,"T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1, T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1, T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1",1,1,1,,4,3,1,,1,1,1,,4,4,4,,1.37E+06,4.53E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63244,RACK1,"Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3, Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3",2,1,,,5,1,,,2,1,,,14,9,,,1.39E+06,1.38E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26599,PTBP1,"Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1, Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1",3,1,,,9,1,,,3,1,,,12,5,,,1.50E+06,2.12E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11021,HSPA5,"Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2, Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2, Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2",5,7,2,,16,13,2,,4,5,2,,13,17,5,,1.55E+06,4.83E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99714,HSD17B10,"3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3, 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3",2,1,,,6,2,,,2,1,,,17,10,,,1.56E+06,1.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P45880,VDAC2,"Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2, Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2",3,2,,,9,2,,,3,2,,,22,15,,,1.60E+06,9.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09651,HNRNPA1,"Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5",3,1,,,10,1,,,3,1,,,13,3,,,1.66E+06,2.97E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22626,HNRNPA2B1,"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2, Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",1,2,,,7,3,,,1,2,,,5,7,,,1.78E+06,2.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04908,H2AC4; H2AC8,"Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2, Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2",2,1,,,2,1,,,2,1,,,22,15,,,1.84E+06,8.49E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06748,NPM1,"Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2",1,2,,,6,3,,,1,2,,,6,10,,,1.99E+06,1.53E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62805,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,"Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2",5,1,,,7,1,,,5,1,,,50,8,,,2.12E+06,3.12E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19338,NCL,"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3, Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3",4,6,,,12,8,,,4,6,,,9,11,,,2.23E+06,2.76E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07737,PFN1,"Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2, Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2",2,2,,,18,5,,,2,2,,,21,20,,,2.34E+06,3.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BQE3,TUBA1C,"Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1, Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1, Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1",8,6,1,,28,8,1,,2,1,1,,33,21,4,,2.35E+06,1.99E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78371,CCT2,"T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4, T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4, T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4",7,2,1,,17,3,1,,7,2,1,,23,7,3,,2.50E+06,1.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
