Accession,Descriptions,Genes,#.Peptides.QEX3_1226028,#.Peptides.QEX3_1226029,#.Peptides.QEX3_1226030,#.Peptides.QEX3_1226031,#.Peptides.QEX3_1226032,#.Peptides.QEX3_1226033,#.Peptides.QEX3_1226034,#.PSMs.QEX3_1226028,#.PSMs.QEX3_1226029,#.PSMs.QEX3_1226030,#.PSMs.QEX3_1226031,#.PSMs.QEX3_1226032,#.PSMs.QEX3_1226033,#.PSMs.QEX3_1226034,#.Unique.Peptides.QEX3_1226028,#.Unique.Peptides.QEX3_1226029,#.Unique.Peptides.QEX3_1226030,#.Unique.Peptides.QEX3_1226031,#.Unique.Peptides.QEX3_1226032,#.Unique.Peptides.QEX3_1226033,#.Unique.Peptides.QEX3_1226034,%.Coverage.QEX3_1226028,%.Coverage.QEX3_1226029,%.Coverage.QEX3_1226030,%.Coverage.QEX3_1226031,%.Coverage.QEX3_1226032,%.Coverage.QEX3_1226033,%.Coverage.QEX3_1226034,t=0; WTYAP; Abundance.QEX3_1226028,t=24; WTYAP; Abundance.QEX3_1226029,t=36; WTYAP; Abundance.QEX3_1226030,t=48; WTYAP; Abundance.QEX3_1226031,t=0; Y2TAZ; Abundance.QEX3_1226032,t=36; Y2TAZ; Abundance.QEX3_1226033,t=48; Y2TAZ; Abundance.QEX3_1226034,,,,,,
P83731,"60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1, 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1, 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1, 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1, 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1",RPL24,2,6,8,9,1,,,2,10,14,16,1,,,2,6,8,9,1,,,13,35,41,46,8,,,57348.79,2648013.68,7683446.87,15010159.22,28901.95,,,,,,,,
Q86YZ3,"Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2, Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2, Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2, Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2, Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2",HRNR,7,8,6,2,13,,,7,9,6,4,17,,,7,8,6,2,13,,,9,11,7,3,14,,,129681.31,503579.11,380167.21,550818.16,344012.33,,,,,,,,
Q99729,"Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2, Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2, Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2",HNRNPAB,,8,10,11,,,,,11,15,17,,,,,7,9,10,,,,,24,29,31,,,,,666126.49,1361987.90,2892017.80,,,,,,,,,
P05186,"Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4, Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4, Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4, Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4",ALPL,1,7,10,11,,,,1,8,14,19,,,,1,7,10,11,,,,2,14,22,25,,,,9991.82,550485.96,1636885.43,12227213.08,,,,,,,,,
P46782,"40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4, 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4, 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4, 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4, 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4",RPS5,1,8,9,8,1,,,1,11,16,13,1,,,1,8,9,8,1,,,10,36,46,36,4,,,17569.62,1965142.78,4460090.31,9836504.68,16446.75,,,,,,,,
P62826,"GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3, GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3, GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3, GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3, GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3",RAN,,8,8,9,2,1,,,14,14,11,2,1,,,8,8,9,2,1,,,37,43,43,10,5,,,2442460.52,3622366.22,8536947.93,62921.75,31705.67,,,,,,,
Q15424,"Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4, Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4, Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4",SAFB,,10,10,18,,,,,10,10,22,,,,,7,7,11,,,,,12,12,20,,,,,2429396.54,3363616.02,13827013.17,,,,,,,,,
Q7Z478,"ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2, ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2, ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2, ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2",DHX29,1,12,16,13,,,,1,12,16,13,,,,1,11,16,12,,,,1,10,13,11,,,,7640.54,628511.55,1713199.93,2255462.48,,,,,,,,,
Q92896,"Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2, Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2, Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2",GLG1,,5,14,16,,,,,6,17,19,,,,,5,14,16,,,,,4,12,13,,,,,70505.55,1121587.95,7225183.07,,,,,,,,,
Q96N67,"Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4, Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4, Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4",DOCK7,,12,10,18,,,,,12,11,19,,,,,11,10,17,,,,,6,5,9,,,,,625811.85,670807.73,2516758.90,,,,,,,,,
Q9H2D6,"TRIO and F-actin-binding protein OS=Homo sapiens OX=9606 GN=TRIOBP PE=1 SV=3, TRIO and F-actin-binding protein OS=Homo sapiens OX=9606 GN=TRIOBP PE=1 SV=3, TRIO and F-actin-binding protein OS=Homo sapiens OX=9606 GN=TRIOBP PE=1 SV=3",TRIOBP,,9,17,12,,,,,9,20,13,,,,,9,17,12,,,,,4,8,6,,,,,145065.91,1067600.93,1782335.63,,,,,,,,,
O00291,"Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5, Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5, Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5",HIP1,,10,11,11,,,,,12,14,15,,,,,10,11,11,,,,,13,13,14,,,,,436003.61,965061.88,2098024.21,,,,,,,,,
P18621,"60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3, 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3, 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3, 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3",RPL17,1,7,8,6,,,,1,12,17,11,,,,1,7,8,6,,,,9,39,46,35,,,,21888.89,881938.42,2977816.01,5279133.45,,,,,,,,,
P26373,"60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4, 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4, 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4, 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4, 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4, 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4, 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4",RPL13,1,5,9,9,1,,1,1,6,15,16,2,,1,1,5,9,9,1,,1,4,25,40,40,6,,4,25129.69,1901021.38,8434656.18,18037457.10,57777.07,,11912.72,,,,,,
P61353,"60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2, 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2, 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2, 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2, 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2, 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2",RPL27,2,5,6,7,1,1,,2,9,13,15,1,1,,2,5,6,7,1,1,,13,43,49,51,6,6,,138704.54,2703460.70,9483991.08,18070601.17,41739.70,36324.27,,,,,,,
P62266,"40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3, 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3, 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3, 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3, 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3",RPS23,4,6,6,6,2,,,4,11,12,12,2,,,4,6,6,6,2,,,43,48,30,30,16,,,131458.21,3260057.99,5694916.97,21039708.56,72891.11,,,,,,,,
Q8NE71,"ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2, ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2, ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2",ABCF1,,10,10,13,,,,,11,14,16,,,,,10,10,13,,,,,12,13,16,,,,,618205.51,1479517.61,3438157.82,,,,,,,,,
Q8WWI1,"LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3, LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3, LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3",LMO7,,9,11,18,,,,,9,11,21,,,,,9,11,18,,,,,6,7,12,,,,,248071.12,1805686.05,6067795.86,,,,,,,,,
Q96GQ7,"Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2",DDX27,2,10,12,10,,,,4,11,14,12,,,,2,10,12,10,,,,3,12,15,11,,,,45053.55,713136.65,1380734.36,2026457.01,,,,,,,,,
O60885,"Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2, Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2, Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2",BRD4,,5,12,12,,,,,5,17,18,,,,,5,8,8,,,,,3,9,9,,,,,416876.16,2478096.79,7506227.76,,,,,,,,,
P08195,"4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3, 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3, 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3",SLC3A2,,6,11,15,,,,,7,14,19,,,,,6,11,15,,,,,14,22,28,,,,,281388.28,1297314.05,3612198.64,,,,,,,,,
P78344,"Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1, Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1, Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1",EIF4G2,,5,17,15,,,,,5,18,17,,,,,5,17,15,,,,,7,19,18,,,,,43521.44,1446559.26,4258752.06,,,,,,,,,
Q09028,"Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3, Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3, Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3, Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3",RBBP4,,10,9,9,1,,,,13,12,14,1,,,,3,3,9,1,,,,22,20,19,3,,,,1476125.22,3133034.67,10727739.97,,,,,,,,,
Q8NI27,"THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2, THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2, THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2",THOC2,,7,12,13,,,,,9,15,16,,,,,7,12,13,,,,,4,7,9,,,,,305414.52,1123368.85,1529732.77,,,,,,,,,
Q9BV38,"WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2, WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2, WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2, WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2",WDR18,4,8,10,10,,,,4,9,13,14,,,,4,8,10,10,,,,10,22,25,26,,,,51759.87,1656245.97,5511590.87,12136910.41,,,,,,,,,
A5YKK6,"CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2, CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2, CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2",CNOT1,,15,8,15,,,,,15,8,16,,,,,15,8,15,,,,,7,3,7,,,,,289104.30,189304.48,559098.03,,,,,,,,,
O14578,"Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2, Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2, Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2",CIT,,13,11,13,,,,,13,12,14,,,,,13,11,13,,,,,7,6,7,,,,,651420.88,797731.83,1132400.68,,,,,,,,,
O75044,"SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3, SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3, SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3",SRGAP2,,12,11,14,,,,,13,11,15,,,,,12,11,14,,,,,14,11,18,,,,,411780.95,891886.11,2474312.96,,,,,,,,,
P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3, ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3, ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",ATP5F1B,,7,14,12,,,,,8,16,15,,,,,7,14,12,,,,,20,32,26,,,,,327783.11,1629539.74,3705374.36,,,,,,,,,
P32969,"60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1, 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1, 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1, 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1, 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1",RPL9; RPL9P7; RPL9P8; RPL9P9,2,8,9,9,2,,,2,10,13,12,2,,,2,8,9,9,2,,,15,47,48,48,11,,,17828.68,2384430.47,7293287.06,14981566.52,62438.35,,,,,,,,
P61254,"60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1, 60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1, 60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1",RPL26,,7,9,9,,,,,9,16,14,,,,,7,9,2,,,,,30,36,36,,,,,863876.52,5662077.59,12655550.31,,,,,,,,,
P62995,"Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1, Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1, Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1, Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1",TRA2B,2,6,7,8,,,,2,10,13,14,,,,2,6,6,6,,,,9,24,28,23,,,,35041.90,1925730.01,3195257.69,10456447.55,,,,,,,,,
Q12830,"Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3, Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3, Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3",BPTF,,9,17,12,,,,,9,18,12,,,,,9,17,12,,,,,3,6,4,,,,,273303.18,1403758.86,2159932.59,,,,,,,,,
Q5VZL5,"Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1, Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1, Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1",ZMYM4,,8,12,15,,,,,8,13,18,,,,,6,10,13,,,,,5,8,11,,,,,143774.05,945095.36,1736508.85,,,,,,,,,
Q8IUE6,"Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3, Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3, Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3, Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3",H2AC21,,6,5,7,2,,,,11,11,12,5,,,,2,2,3,1,,,,48,42,48,12,,,,461364.40,2034619.54,8258285.63,35859.35,,,,,,,,
Q8TDN6,"Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2, Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2, Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2, Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2",BRIX1,1,10,11,10,,,,1,12,13,13,,,,1,10,11,10,,,,3,33,33,34,,,,10436.49,625219.79,1986132.55,3972808.58,,,,,,,,,
Q92616,"eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7, eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7, eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7",GCN1,,10,16,13,,,,,10,16,13,,,,,10,16,13,,,,,4,7,6,,,,,128222.66,665682.12,648564.34,,,,,,,,,
Q96KR1,"Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2, Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2, Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2",ZFR,,7,12,13,,,,,8,14,17,,,,,7,12,13,,,,,8,13,15,,,,,244492.70,1052829.90,2734228.42,,,,,,,,,
Q9H0S4,"Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1",DDX47,4,8,10,8,,,,6,11,12,10,,,,4,8,10,8,,,,10,20,27,22,,,,63889.54,754882.49,1712843.80,3334156.47,,,,,,,,,
Q9P2I0,"Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2, Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2, Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2, Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2",CPSF2,2,10,11,12,,,,2,11,12,14,,,,2,10,11,12,,,,2,15,18,19,,,,33162.61,411101.81,1257197.04,2219788.91,,,,,,,,,
Q9ULU4,"Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2, Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2, Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2",ZMYND8,,6,13,15,,,,,6,16,17,,,,,6,13,15,,,,,6,13,15,,,,,333477.81,965829.96,2863143.47,,,,,,,,,
Q9Y230,"RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3, RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3, RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3, RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3",RUVBL2,,8,10,11,1,,,,8,15,15,1,,,,8,10,11,1,,,,22,26,29,3,,,,403258.75,1271771.81,3262516.06,,,,,,,,,
P05198,"Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3, Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3, Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3, Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3, Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3",EIF2S1,2,8,10,10,1,,,2,8,14,13,1,,,2,8,10,10,1,,,5,23,31,35,3,,,26794.71,818067.86,2526270.92,4419476.95,,,,,,,,,
P0C0S8,"Histone H2A type 1 OS=Homo sapiens OX=9606 GN=H2AC11 PE=1 SV=2, Histone H2A type 1 OS=Homo sapiens OX=9606 GN=H2AC11 PE=1 SV=2",H2AC11; H2AC13; H2AC15; H2AC16; H2AC17,,8,,,4,,,,23,,,15,,,,3,,,3,,,,46,,,35,,,,33653317.55,,,2653642.85,,,,,,,,
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2, 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2, 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2, 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2, 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",HSPD1,2,7,9,12,4,,,2,7,12,13,4,,,2,7,9,12,4,,,3,15,19,23,7,,,57992.12,813220.88,2235772.32,5039439.66,73543.97,,,,,,,,
P18077,"60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2, 60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2, 60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2, 60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2, 60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2",RPL35A,1,8,8,8,1,,,1,14,12,10,1,,,1,8,8,8,1,,,6,54,54,54,7,,,35476.15,3840899.44,10859076.31,22774609.58,12552.54,,,,,,,,
Q15365,"Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2, Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2, Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2, Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2, Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2, Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2",PCBP1,1,8,8,10,2,1,,1,8,12,14,2,1,,1,6,6,6,1,1,,4,30,29,38,6,4,,,539205.91,1291763.98,4163531.21,41326.43,9588.63,,,,,,,
Q9H307,"Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5, Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5, Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5",PNN,,6,9,15,,,,,8,9,21,,,,,6,9,15,,,,,10,13,21,,,,,310973.04,1203941.60,5337273.94,,,,,,,,,
