Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,Abundance 1245818,Abundance 1245819,Abundance 1245820,Abundance 1245821,Abundance 1245822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68431,Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2,10,2,8,2,15.4,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,3411965.313,3111721.688,3813134.063,4602562.625,506323.6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,10,2,8,2,32.6,NPM1,279928.332,422514.5156,517895.3438,602597.1484,25522.13281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15459,Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,6,4,8,4,88.8,SF3A1,665686.2109,165811.2734,305425.4297,49072.79297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BQG0,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,2,3,8,3,148.8,MYBBP1A,1979804.188,75561.63672,1498477.938,11767.12891,17099.13672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,12,3,8,1,29.2,YWHAE,,,36333.10938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P30050,Large ribosomal subunit protein uL11 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,24,3,7,3,17.8,RPL12,580360.0898,481886.3672,333618.7051,329307.3691,119475.1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31947,14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1,11,3,7,1,27.8,SFN,511087.0332,110869.04,1374574.891,91521.4873,126506.2461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62318,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,15,2,7,2,13.9,SNRPD3,575485.8906,279971.1094,430840.7188,392432.8438,24538.47656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14678,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2,13,4,7,4,24.6,SNRPB,1089173.086,381305.9102,479583.6094,511740.0664,22886.63232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14866,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,9,4,7,4,64.1,HNRNPL,689947.6289,368605.8418,851277.5078,364258.4922,27632.75488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46087,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,4,3,7,3,89.2,NOP2,283394.2305,343696.8984,143337.4023,103796.3594,18042.5957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,11,2,7,1,22.1,PRDX1,50513.83984,58254.78516,191304.8594,159505.75,50299.88672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P81605,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,27,3,7,3,11.3,DCD,313407.9961,169292,1173972,595646.3281,150914.4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,20,3,7,2,21.9,PRDX2,85535.75,139602.7715,413692.5625,471131.5781,59151.67578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09651,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,6,2,7,2,38.7,HNRNPA1,329046.9766,516742.3125,470771.2266,367468.4688,33721.3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75223,Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1,41,7,7,7,21,GGCT,39591.30469,12201.4502,228224.1719,1101050.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IW75,Serpin A12 OS=Homo sapiens OX=9606 GN=SERPINA12 PE=1 SV=1,12,5,6,5,47.1,SERPINA12,77469.39063,110132.3379,191466.707,975182.4141,29534.69434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P58107,Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3,7,3,6,1,555.3,EPPK1,,,,79346.85938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99459,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,4,3,6,3,92.2,CDC5L,364134.0625,195130.3203,218289.7188,168579.0078,33046.86719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,8,3,6,1,49.9,TUBB2A,,26342.29492,89950.17969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,8,6,6,6,89.3,VCP,58562.21875,34658.82227,55715.83984,313891.6953,14809.55957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P29317,Ephrin type-A receptor 2 OS=Homo sapiens OX=9606 GN=EPHA2 PE=1 SV=2,3,2,6,2,108.2,EPHA2,168351.0898,127884.9063,127035.0781,86706.04688,93393.75781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UMS4,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,8,4,6,4,55.1,PRPF19,1075658.094,429667.8457,584370.2422,480777.3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14555,"Phospholipase A2, membrane associated OS=Homo sapiens OX=9606 GN=PLA2G2A PE=1 SV=2",10,2,6,2,16.1,PLA2G2A,646685.0938,124165.6367,143264.418,143526.2227,122702.7656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31943,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,10,3,6,3,49.2,HNRNPH1,269249.6875,212788.6875,336818.125,126896.7617,10491.4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06702,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,31,3,6,3,13.2,S100A9,443621.625,469470.4453,1252949.977,189254.5938,1144307.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13835,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,5,4,6,4,82.8,PKP1,,57377.8418,908794.8828,374096.7344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",3,2,6,2,59.7,ATP5F1A,517850.3691,315747.4336,261956.4805,169441.0938,139278.8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",6,4,6,4,73.6,HSPA9,609308.7109,189905.3145,264409.6836,101590.6641,117791.2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11137,Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4,2,3,6,3,199.4,MAP2,146071.9453,102287.582,9572.94043,61268.75391,365880.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q2TAY7,WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,9,4,6,4,57.5,SMU1,587654.1289,129692.9863,261354.2529,154345.4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13435,Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2,6,5,6,5,100.2,SF3B2,374599.8711,67749.75781,108415.3887,37056.96484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86YP4,Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1,4,2,5,2,68,GATAD2A,259908.3281,93499.00781,153272.6797,142875.9297,39327.20117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23490,Loricrin OS=Homo sapiens OX=9606 GN=LORICRIN PE=1 SV=2,4,2,5,2,25.7,LORICRIN,,,62156.30273,1638114.422,6987.411133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25788,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,11,3,5,3,28.4,PSMA3,,36102.25879,71305.58398,455669.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35268,Large ribosomal subunit protein eL22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,19,2,5,2,14.8,RPL22,163578.9883,142284.6328,137480.4961,,59479.03516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",3,2,5,2,61,HSPD1,76086.82813,134806.2031,153758.9219,34588.64063,222535.7031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9GZV5,WW domain-containing transcription regulator protein 1 OS=Homo sapiens OX=9606 GN=WWTR1 PE=1 SV=1,12,4,5,4,44.1,WWTR1,,24570.50977,787040.2344,45350.64941,85783.16602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,3,2,5,2,90.2,SART1,148642.2344,35547.99805,84316.33984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6P1L8,Large ribosomal subunit protein uL14m OS=Homo sapiens OX=9606 GN=MRPL14 PE=1 SV=1,23,3,5,3,15.9,MRPL14,1067051.844,202688.2422,446253.0625,105239.7734,115989.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHX1,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,5,3,5,3,59.8,PUF60,512243.2031,222597.3594,273492.3516,673149.2109,52128.5957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2,11,5,5,5,50.6,GDI2,,20276.27832,63769.91016,900262.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P01876,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=3,5,2,5,2,42.8,IGHA1,107414.5938,176393.1953,304750.9961,31709.45313,28438.07813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07384,Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,8,5,5,5,81.8,CAPN1,,,,384485.1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15424,Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4,2,2,4,2,102.6,SAFB,245791.2578,53198.30859,82706.96094,19517.73047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P01834,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2,33,2,4,2,11.8,IGKC,413017.375,119322.4219,94734.27344,53992.10547,39229.18359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16629,Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,9,2,4,2,27.4,SRSF7,170944.4531,72649.64844,163025.2656,61074.32813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DI83,"Ras-related protein Rab-34, isoform NARR OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1",13,2,4,2,21.1,RAB34,369593.875,139471.6094,240609.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96GM5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens OX=9606 GN=SMARCD1 PE=1 SV=2,6,3,4,3,58.2,SMARCD1,323707.7383,,59869.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P36578,Large ribosomal subunit protein uL4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,5,2,4,2,47.7,RPL4,170072.7422,94018.04883,102756.0742,119115.0898,29449.77539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,3,2,4,2,83.2,HSP90AB1,56501.75781,226598.5234,161623.5859,66936.27344,73457.25391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12273,Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1,29,3,4,3,16.6,PIP,124052.6992,46333.63672,56731.44531,35022.01172,30531.7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62280,Small ribosomal subunit protein uS17 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,10,2,4,2,18.4,RPS11,605233.625,684730.3281,217708.0625,518417.9961,2615184.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,2,3,4,3,628.7,AHNAK,,,64778.17578,319623.8516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,6,2,4,1,38.6,PCBP2,79044,92045.32813,162710.6484,82615.76563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,6,2,4,1,37.5,PCBP1,54048.30078,36443.11719,90337.6875,29891.69727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14497,AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3,3,4,4,4,241.9,ARID1A,752941.5078,12692.44336,185770.2949,,36064.45508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O96019,Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,16,4,4,4,47.4,ACTL6A,522942.0859,16498.18555,65180.48047,34838.97266,15237.25781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14684,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3,3,2,4,2,84.4,RRP1B,675666.7656,72120.6582,327852.3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6PGN9,Proline/serine-rich coiled-coil protein 1 OS=Homo sapiens OX=9606 GN=PSRC1 PE=1 SV=1,9,3,4,3,38.8,PSRC1,301650.9102,75352.39844,535961.457,58925.52344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02086,Transcription factor Sp2 OS=Homo sapiens OX=9606 GN=SP2 PE=1 SV=3,6,2,4,2,64.9,SP2,166395.1445,33235.43555,9588.248047,,6938.324219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P10599,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,30,3,4,3,11.7,TXN,79938.46875,87845.29688,886676.4375,2992973.586,33565.36719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IY63,Angiomotin-like protein 1 OS=Homo sapiens OX=9606 GN=AMOTL1 PE=1 SV=1,4,4,4,3,106.5,AMOTL1,836076.3906,,41667.33594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,12,3,3,3,28.5,PSMB5,,21012.8916,116060.8672,369099.7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H1E1,Ribonuclease 7 OS=Homo sapiens OX=9606 GN=RNASE7 PE=1 SV=2,31,3,3,3,17.4,RNASE7,,,9117.462891,293965.375,19069.67969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,3,3,3,3,123.7,VCL,,,24368.98047,39513.19531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IYB3,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2,2,2,3,2,102.3,SRRM1,,,,,145627.9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q4VCS5,Angiomotin OS=Homo sapiens OX=9606 GN=AMOT PE=1 SV=1,3,3,3,2,118,AMOT,110978.7188,,13758.85059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60866,Small ribosomal subunit protein uS10 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,15,2,3,2,13.4,RPS20,126487.4922,130883.1016,57068.625,51002.48047,113835.4688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P0M6,Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=3,6,2,3,2,40,MACROH2A2,82494.99219,113991.0537,127733.9863,31870.22852,39688.60547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07942,Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2,2,3,3,3,197.9,LAMB1,,,,232338.1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6ZVX7,F-box only protein 50 OS=Homo sapiens OX=9606 GN=NCCRP1 PE=1 SV=1,8,2,3,2,30.8,NCCRP1,,25294.24023,216246.3047,764133.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q969G3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2,8,3,3,3,46.6,SMARCE1,100467.5625,12794.26172,,21695.81641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TF66,Leucine-rich repeat-containing protein 15 OS=Homo sapiens OX=9606 GN=LRRC15 PE=1 SV=2,3,2,3,2,64.3,LRRC15,196668.1406,79284.72656,1233892.5,89641.85156,85754.83594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15828,Cystatin-M OS=Homo sapiens OX=9606 GN=CST6 PE=1 SV=1,14,2,3,2,16.5,CST6,,,83667.17188,597609.1719,9346.176758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28799,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,4,2,3,2,63.5,GRN,124328.9219,28280.89063,63738.21484,22155.41406,109276.1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NWB6,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,6,2,3,2,33.2,ARGLU1,403856.1563,146665.8555,176981.0898,208766.6406,3771.940918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23396,Small ribosomal subunit protein uS3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,7,2,3,2,26.7,RPS3,917250.8125,522663.6797,458671.0078,335252.582,302781.6318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60900,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,10,2,3,2,27.4,PSMA6,55778.15625,56536.67188,115887.9688,429730.375,8382.37207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,5,3,3,3,73.1,KHSRP,,37939.19824,89256.2832,34126.74219,11598.73047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12905,Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,6,2,3,2,43,ILF2,113247.2441,114433.6758,216708.1641,128763.3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50452,Serpin B8 OS=Homo sapiens OX=9606 GN=SERPINB8 PE=1 SV=2,6,2,3,2,42.7,SERPINB8,,,63910.5,209691.6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DOY2,Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1,24,2,3,2,11.3,IGLC2,266042.3984,94367.93164,147980.002,113276.0059,83635.51563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P00338,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,8,3,3,3,36.7,LDHA,,63979.28711,67994.76563,1034449.555,31422.81641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NEX9,Short-chain dehydrogenase/reductase family 9C member 7 OS=Homo sapiens OX=9606 GN=SDR9C7 PE=1 SV=1,6,2,3,2,35.2,SDR9C7,,62647.44141,68215.1875,77743.78906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14498,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,5,2,3,2,59.3,RBM39,95054.07031,34279.60547,31436.33008,33314.28516,5229.152832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14574,Desmocollin-3 OS=Homo sapiens OX=9606 GN=DSC3 PE=1 SV=3,4,3,3,3,99.9,DSC3,76496.48438,122939.75,151931.1875,741678.25,49162.17969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75342,"Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens OX=9606 GN=ALOX12B PE=1 SV=1",5,3,3,3,80.3,ALOX12B,,20977.52148,,107847.1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13228,Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2,4,2,2,2,52.4,SELENBP1,,,448584.7969,39277.83984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,11,2,2,2,15.2,HBA1; HBA2,,63268.73828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60911,Cathepsin L2 OS=Homo sapiens OX=9606 GN=CTSV PE=1 SV=2,6,2,2,2,37.3,CTSV,57016.30859,27839.29492,119714.9063,364835.8438,37217.73047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04062,Lysosomal acid glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA1 PE=1 SV=3,4,2,2,2,59.7,GBA1,,,11484.43848,45270.82813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96QT6,PHD finger protein 12 OS=Homo sapiens OX=9606 GN=PHF12 PE=1 SV=2,2,2,2,2,109.6,PHF12,417774.2031,71612.99219,124264.4609,28742.91211,27081.20117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92820,Gamma-glutamyl hydrolase OS=Homo sapiens OX=9606 GN=GGH PE=1 SV=2,6,2,2,2,35.9,GGH,,15868.49707,66802.59375,228384.4688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49862,Kallikrein-7 OS=Homo sapiens OX=9606 GN=KLK7 PE=1 SV=1,7,2,2,2,27.5,KLK7,,,,481239.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08842,Steryl-sulfatase OS=Homo sapiens OX=9606 GN=STS PE=1 SV=2,4,2,2,2,65.5,STS,,17802.62695,36162.97656,117666.8594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28072,Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,9,2,2,2,25.3,PSMB6,32180.68945,,81846.36914,321130.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75874,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,5,2,2,2,46.6,IDH1,,,30597.49609,156654.2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7L190,Developmental pluripotency-associated protein 4 OS=Homo sapiens OX=9606 GN=DPPA4 PE=1 SV=2,11,2,2,2,33.5,DPPA4,252946.0313,22655.77539,60597.95313,138242.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
